# {"t_start": 1585808911.5425708, "env_id": null} 
r,l,t
-0.99,100,319.767347
0.98,3,319.833172
1.0,1,319.84514
-1.13,14,320.158231
0.9,11,320.401434
0.68,33,321.065225
-1.02,3,321.185123
0.61,40,321.985532
0.97,4,322.086165
-1.59,60,323.293803
-1.28,29,323.892754
-1.39,40,324.709504
-1.1,11,324.958877
0.71,30,325.592158
0.59,42,326.434267
-0.99,100,328.444557
0.84,17,328.811143
0.64,37,329.605186
-1.05,6,329.742444
-1.0,1,329.754412
-1.03,4,329.845174
0.87,14,330.180409
0.03,98,332.125405
-1.0,1,332.22517
-0.99,100,334.223505
-0.99,100,336.242032
0.45,56,337.375872
0.94,7,337.51092
0.91,10,337.747349
0.9,11,338.009216
0.9,11,338.209163
-0.99,100,340.226313
-1.35,36,340.961301
-1.05,6,341.129861
0.93,8,341.311304
-1.1,11,341.575906
-1.36,37,342.316761
0.34,67,343.67499
1.0,1,343.692941
0.67,34,344.393163
0.81,20,344.809605
0.97,4,344.911336
0.87,14,345.231735
-1.04,5,345.353944
0.13,88,347.114765
0.96,5,347.228001
0.98,3,347.324264
-1.62,63,348.617811
-1.52,53,349.67417
-1.31,32,350.350427
0.33,68,351.716431
0.76,25,352.226375
0.88,13,352.544085
1.0,1,352.553062
0.86,15,352.909177
-1.13,14,353.177489
-1.32,33,353.859309
-1.16,17,354.241356
0.52,49,355.231804
0.62,39,356.041288
0.96,5,356.16356
0.54,47,357.146044
-1.14,15,357.408827
-1.07,8,357.591908
0.94,7,357.753506
0.15,86,359.543097
0.71,30,360.109681
0.67,34,360.841295
-1.95,96,362.778051
0.85,16,363.12519
0.65,36,363.860267
-1.01,2,363.909021
0.94,7,364.069624
0.67,34,364.759141
-1.0,1,364.814993
-1.42,43,365.663192
0.92,9,365.893496
0.88,13,366.164315
1.0,1,366.193301
1.0,1,366.24449
0.46,55,367.352287
0.77,24,367.858985
0.82,19,368.265499
-1.08,9,368.453068
0.69,32,369.116024
-1.04,5,369.22785
-1.15,16,369.575093
0.3,71,371.018329
-1.28,29,371.609306
0.44,57,372.807548
0.96,5,372.918263
-0.99,100,374.948425
-1.07,8,375.116027
0.45,56,376.249257
0.97,4,376.364976
-0.99,100,378.383243
0.66,35,379.110965
0.56,45,380.015394
-1.9,91,381.860133
0.93,8,382.0487
0.99,2,382.065654
0.96,5,382.199165
0.94,7,382.351763
0.9,11,382.615169
0.86,15,382.943042
0.81,20,383.359136
0.91,10,383.559727
0.9,11,383.801197
0.8,21,384.257756
0.64,37,384.992083
0.66,35,385.726351
-1.15,16,386.060043
0.23,78,387.662657
0.94,7,387.795335
-1.0,1,387.86116
0.75,26,388.376615
0.96,5,388.500286
0.99,2,388.562523
0.97,4,388.682706
0.78,23,389.177142
0.64,37,389.913594
0.92,9,390.093463
0.94,7,390.26699
0.99,2,390.325903
0.97,4,390.411682
0.31,70,391.867698
-1.02,3,391.934518
-0.99,100,393.959057
0.81,20,394.375363
0.53,48,395.359223
0.98,3,395.411123
0.42,59,396.616014
-1.11,12,396.876354
0.93,8,397.05426
0.79,22,397.541095
0.69,32,398.1934
0.99,2,398.244923
-0.99,100,400.251157
-1.46,47,401.230023
0.08,93,403.093458
0.8,21,403.539183
-1.23,24,404.039553
0.15,86,405.793042
-1.0,1,405.806009
0.57,44,406.716211
0.95,6,406.876782
0.82,19,407.255234
0.99,2,407.314075
0.96,5,407.439844
0.26,75,408.963534
0.9,11,409.216986
0.83,18,409.577959
0.99,2,409.683214
0.61,40,410.47322
0.81,20,410.891491
0.85,16,411.240083
-1.04,5,411.363091
0.19,82,412.991535
-1.14,15,413.319762
0.98,3,413.476317
0.95,6,413.553117
0.95,6,413.680898
-1.04,5,413.801695
0.68,33,414.462419
0.56,45,415.449472
-1.18,19,415.79174
0.26,75,417.310871
0.99,2,417.410689
0.77,24,417.910608
-1.24,25,418.411508
0.69,32,419.062787
0.73,28,419.646945
0.74,27,420.227263
-1.13,14,420.493663
0.99,2,420.5926
0.93,8,420.762669
-1.22,23,421.209514
0.98,3,421.303532
0.66,35,422.050866
0.9,11,422.276518
-1.0,1,422.29298
0.51,50,423.308292
-1.16,17,423.711254
0.93,8,423.877202
0.51,50,424.876322
1.0,1,424.911646
0.87,14,425.247831
-1.1,11,425.478493
0.34,67,426.810067
-1.43,44,427.712939
0.94,7,427.876579
0.72,29,428.461912
-1.11,12,428.726371
0.73,28,429.309837
0.94,7,429.475971
0.82,19,429.883409
-1.07,8,430.067252
0.8,21,430.50274
0.58,43,431.400064
1.0,1,431.412006
1.0,1,431.458554
0.88,13,431.760284
-0.99,100,433.776955
0.9,11,433.992916
-1.02,3,434.087702
0.92,9,434.295284
0.9,11,434.510077
-1.17,18,434.927069
0.91,10,435.121016
0.85,16,435.475183
-1.13,14,435.795293
0.3,71,437.19192
0.97,4,437.296151
0.88,13,437.595761
1.0,1,437.60993
-1.0,1,437.660101
-1.01,2,437.745871
0.76,25,438.265834
0.93,8,438.447728
0.65,36,439.164358
0.93,8,439.3479
0.88,13,439.611731
0.77,24,440.12674
0.92,9,440.31324
0.87,14,440.631913
0.6,41,441.452652
0.93,8,441.63503
0.84,17,442.001364
-1.06,7,442.158761
0.78,23,442.670709
0.94,7,442.829285
0.86,15,443.108666
0.98,3,443.203352
0.97,4,443.303612
0.91,10,443.560232
0.98,3,443.583382
0.89,12,443.859674
0.93,8,444.029123
0.95,6,444.182377
0.75,26,444.708635
0.98,3,444.80268
0.76,25,445.310793
0.99,2,445.400744
-1.16,17,445.758559
0.75,26,446.295936
-1.12,13,446.566578
0.71,30,447.194405
0.87,14,447.503153
0.78,23,447.97733
0.99,2,448.008746
1.0,1,448.060877
0.98,3,448.142185
0.84,17,448.494157
0.81,20,448.913192
0.95,6,449.063448
0.92,9,449.254448
0.92,9,449.446216
0.81,20,449.863137
-1.02,3,449.975881
0.97,4,450.061184
-1.0,1,450.093304
0.88,13,450.411087
0.94,7,450.529357
0.95,6,450.681947
1.0,1,450.709842
0.74,27,451.301063
-0.99,100,453.312667
0.97,4,453.413737
0.93,8,453.581212
-1.11,12,453.849033
0.17,84,455.547017
0.86,15,455.906433
-1.11,12,456.142931
1.0,1,456.151907
0.83,18,456.530107
-1.09,10,456.761097
0.69,32,457.431948
1.0,1,457.445911
0.89,12,457.712037
0.98,3,457.815065
0.93,8,457.987544
0.77,24,458.493399
1.0,1,458.509511
-1.19,20,458.929615
0.66,35,459.683415
-1.02,3,459.761396
0.7,31,460.376945
0.92,9,460.612996
0.75,26,461.111989
-1.0,1,461.160859
0.92,9,461.378021
0.45,56,462.511874
0.96,5,462.633276
0.89,12,462.894437
-1.02,3,462.996166
0.8,21,463.400288
0.97,4,463.519208
0.95,6,463.625922
-1.0,1,463.716679
0.89,12,463.975266
0.96,5,464.061036
0.87,14,464.362665
0.93,8,464.52925
0.87,14,464.850902
0.88,13,465.114132
0.99,2,465.210259
-1.09,10,465.398288
0.96,5,465.512607
0.65,36,466.260024
0.98,3,466.330523
0.9,11,466.582777
0.81,20,466.998983
-1.01,2,467.06017
0.97,4,467.148519
0.84,17,467.562315
1.0,1,467.57129
0.9,11,467.81883
0.98,3,467.893435
-1.24,25,468.413921
-1.02,3,468.479214
0.95,6,468.6176
1.0,1,468.662462
0.74,27,469.242937
0.71,30,469.84355
0.99,2,469.918868
0.89,12,470.181181
0.93,8,470.369049
1.0,1,470.383013
0.97,4,470.476857
-1.25,26,471.044026
0.99,2,471.062499
0.81,20,471.493516
0.99,2,471.594621
0.84,17,471.953641
0.89,12,472.199871
0.97,4,472.302147
0.83,18,472.649954
0.82,19,473.053321
0.98,3,473.169538
0.93,8,473.333638
0.96,5,473.455335
-1.02,3,473.521159
0.97,4,473.633124
0.91,10,473.833425
-1.0,1,473.894263
0.99,2,473.944497
0.99,2,474.032263
0.8,21,474.451076
0.93,8,474.631157
0.94,7,474.81513
0.84,17,475.166584
-1.03,4,475.237529
0.88,13,475.510328
0.92,9,475.700925
0.97,4,475.812253
0.91,10,476.0381
0.96,5,476.175742
0.99,2,476.238892
0.86,15,476.529714
0.77,24,477.025725
-1.1,11,477.270593
0.97,4,477.388355
0.87,14,477.725559
0.92,9,477.901837
-1.0,1,477.917794
0.94,7,478.087971
-1.0,1,478.099939
0.91,10,478.350862
-1.01,2,478.410702
0.98,3,478.501482
0.97,4,478.582278
0.97,4,478.700988
0.85,16,479.016789
0.9,11,479.297265
0.96,5,479.381359
0.92,9,479.572051
0.85,16,479.927479
0.97,4,480.011369
0.94,7,480.182859
0.81,20,480.605158
-1.15,16,480.949638
0.94,7,481.126227
0.87,14,481.393755
1.0,1,481.428682
0.79,22,481.906193
0.6,41,482.729664
0.93,8,482.910772
0.97,4,483.021056
1.0,1,483.062164
0.93,8,483.245356
0.85,16,483.577234
0.99,2,483.638071
0.99,2,483.710445
0.82,19,484.105371
0.37,64,485.403494
0.99,2,485.478292
0.87,14,485.777006
1.0,1,485.788974
-1.03,4,485.897454
0.95,6,486.04957
0.46,55,487.180737
-1.18,19,487.550637
0.94,7,487.718552
0.98,3,487.820281
-1.28,29,488.411024
0.8,21,488.840436
0.89,12,489.094192
0.95,6,489.250346
0.93,8,489.433193
0.44,57,490.570222
-1.05,6,490.75005
0.76,25,491.266102
0.75,26,491.783031
-1.03,4,491.863814
0.99,2,491.972126
0.73,28,492.551436
1.0,1,492.561407
-1.01,2,492.66314
0.62,39,493.409123
0.81,20,493.830601
0.97,4,493.934636
-1.26,27,494.494767
0.84,17,494.859311
0.9,11,495.094043
0.85,16,495.434133
0.99,2,495.528561
0.95,6,495.652245
0.93,8,495.825552
1.0,1,495.843505
-1.08,9,496.079555
-1.05,6,496.205965
0.96,5,496.317238
0.69,32,496.992534
0.94,7,497.133157
0.93,8,497.314087
0.96,5,497.434769
0.98,3,497.510565
0.97,4,497.620969
0.98,3,497.719213
0.8,21,498.13123
0.8,21,498.579225
0.91,10,498.812254
0.71,30,499.400769
0.91,10,499.647233
0.97,4,499.766189
-1.05,6,499.894333
-1.16,17,500.263482
0.86,15,500.546321
0.96,5,500.712893
0.96,5,500.819116
0.96,5,500.927338
0.81,20,501.36118
0.89,12,501.601055
0.78,23,502.084101
0.8,21,502.510957
-1.04,5,502.629681
1.0,1,502.713457
0.94,7,502.835194
0.71,30,503.467017
0.94,7,503.645187
0.86,15,503.925146
0.98,3,504.022484
0.97,4,504.125715
-1.06,7,504.281262
0.91,10,504.495231
0.99,2,504.568036
0.88,13,504.838089
0.98,3,504.953547
0.95,6,505.044304
0.93,8,505.230805
0.87,14,505.550104
0.93,8,505.73684
0.89,12,505.98469
0.9,11,506.231874
0.69,32,506.912508
0.75,26,507.413213
0.99,2,507.511952
0.88,13,507.767458
0.18,83,509.465225
0.67,34,510.142996
-1.11,12,510.394536
0.98,3,510.498499
0.85,16,510.849616
0.94,7,511.01234
-1.26,27,511.545249
0.87,14,511.869456
0.98,3,511.94526
-1.02,3,512.011062
0.58,43,512.871228
0.78,23,513.368418
0.98,3,513.478395
0.94,7,513.592595
0.74,27,514.147007
-1.8,81,515.793251
-0.99,100,517.814329
0.97,4,517.911071
1.0,1,517.994145
0.99,2,518.014092
0.9,11,518.268047
0.97,4,518.381774
0.97,4,518.46936
0.93,8,518.661503
0.93,8,518.82706
0.93,8,519.026688
0.93,8,519.184266
0.64,37,519.954818
0.92,9,520.130346
0.92,9,520.363358
-1.02,3,520.426242
0.95,6,520.568016
0.86,15,520.913564
0.76,25,521.410656
0.95,6,521.527353
-1.13,14,521.866719
0.51,50,522.860922
0.91,10,523.101322
0.88,13,523.371652
0.97,4,523.447449
-1.15,16,523.806017
0.98,3,523.899766
0.98,3,523.995047
0.73,28,524.559243
0.81,20,524.994215
-1.08,9,525.169937
0.97,4,525.2838
0.99,2,525.309699
0.59,42,526.20044
1.0,1,526.213405
0.94,7,526.386057
0.54,47,527.380264
0.97,4,527.459054
0.98,3,527.51391
-1.44,45,528.461231
0.93,8,528.645059
0.65,36,529.377263
-1.15,16,529.711964
0.96,5,529.833749
-0.99,100,531.867811
0.95,6,531.963555
-1.11,12,532.245729
0.67,34,532.949444
0.79,22,533.38343
0.74,27,533.955111
1.0,1,534.011987
0.55,46,534.970906
-1.45,46,535.864146
0.9,11,536.113198
0.91,10,536.360042
0.95,6,536.471135
0.98,3,536.583834
-1.54,55,537.711153
0.9,11,537.90942
0.63,38,538.699046
0.94,7,538.878376
0.4,61,540.114428
0.95,6,540.234108
0.88,13,540.563573
0.87,14,540.830053
0.75,26,541.378648
-1.19,20,541.797076
0.8,21,542.232809
0.56,45,543.133111
0.95,6,543.300426
0.97,4,543.411653
0.9,11,543.606697
0.83,18,544.020671
0.69,32,544.665504
0.99,2,544.711381
0.97,4,544.818312
0.93,8,544.984871
0.12,89,546.838195
0.96,5,546.943913
0.99,2,546.958873
0.93,8,547.156423
0.96,5,547.304028
-1.02,3,547.356879
0.95,6,547.510448
1.0,1,547.523441
-1.15,16,547.873477
0.96,5,547.993566
0.76,25,548.544042
0.09,92,550.394152
0.89,12,550.658927
0.83,18,551.024946
0.03,98,553.046205
1.0,1,553.055241
0.8,21,553.470729
-1.57,58,554.683449
0.9,11,554.896602
0.88,13,555.194342
0.8,21,555.649008
0.96,5,555.725374
-0.99,100,557.776891
0.6,41,558.593019
0.95,6,558.754587
0.59,42,559.593447
0.67,34,560.338772
0.95,6,560.429529
0.73,28,561.00757
0.87,14,561.343193
0.86,15,561.670319
1.0,1,561.678298
0.82,19,562.103671
0.86,15,562.388908
0.64,37,563.174843
0.76,25,563.680081
0.59,42,564.537084
-1.31,32,565.180182
0.95,6,565.348732
0.98,3,565.447455
0.94,7,565.57795
-1.03,4,565.695204
0.99,2,565.769395
0.96,5,565.847159
1.0,1,565.913345
-1.88,89,567.726175
0.84,17,568.062862
0.99,2,568.111424
0.97,4,568.214149
0.74,27,568.771891
0.9,11,569.029151
0.99,2,569.079006
0.84,17,569.451607
0.94,7,569.599435
0.98,3,569.669255
0.6,41,570.501532
-1.05,6,570.671081
0.57,44,571.556512
-1.02,3,571.680542
0.96,5,571.760328
0.49,52,572.832218
0.91,10,573.028944
0.94,7,573.196008
